timestamp_iso,zone_name,track_id
2025-12-11T09:41:54.424606,Zone_2,92
2025-12-11T09:41:56.038916,Zone_2,95
2025-12-11T09:41:57.919399,Zone_2,101
2025-12-11T09:42:01.282510,Zone_2,112
2025-12-11T09:42:07.196034,Zone_2,118
2025-12-11T09:42:07.980843,Zone_2,120
2025-12-11T09:42:09.365098,Zone_2,125
2025-12-11T09:42:10.495585,Zone_2,128
2025-12-11T09:42:24.857687,Zone_2,142
2025-12-11T09:42:29.386638,Zone_2,152
2025-12-11T09:42:29.561507,Zone_3,153
2025-12-11T09:42:30.328045,Zone_2,154
2025-12-11T09:42:34.170511,Zone_2,163
2025-12-11T09:42:35.948404,Zone_2,166
2025-12-11T09:42:36.493793,Zone_3,168
2025-12-11T09:42:37.846020,Zone_2,172
2025-12-11T09:42:39.722520,Zone_4,177
2025-12-11T09:42:41.244549,Zone_4,182
2025-12-11T09:42:41.245099,Zone_2,183
2025-12-11T09:42:47.100134,Zone_2,189
2025-12-11T09:42:47.874616,Zone_2,191
2025-12-11T09:42:49.404275,Zone_2,196
2025-12-11T09:42:50.553886,Zone_2,199
2025-12-11T09:55:49.451067,Zone_3,2
2025-12-11T09:55:53.245115,Zone_2,3
2025-12-11T09:55:55.220231,Zone_4,7
2025-12-11T09:55:56.665787,Zone_4,9
2025-12-11T09:55:58.590009,Zone_2,10
2025-12-11T09:55:58.811175,Zone_3,11
2025-12-11T09:55:59.724752,Zone_2,12
2025-12-19T11:21:02.309967,Zone_3,2
2025-12-19T11:21:05.535161,Zone_2,3
2025-12-19T11:21:07.429800,Zone_4,7
2025-12-19T11:21:08.598820,Zone_4,9
2025-12-19T11:21:10.265447,Zone_2,10
2025-12-19T11:21:10.619021,Zone_3,11
2025-12-19T11:21:11.347685,Zone_2,12
2025-12-19T11:21:14.908999,Zone_2,21
2025-12-19T11:21:16.492326,Zone_2,24
2025-12-19T11:21:16.946085,Zone_3,26
2025-12-19T11:21:18.258370,Zone_2,30
2025-12-19T11:21:20.072928,Zone_4,35
2025-12-19T11:21:21.449454,Zone_4,40
2025-12-19T11:21:21.450000,Zone_2,41
2025-12-19T11:21:27.130731,Zone_2,47
2025-12-19T11:21:27.855769,Zone_2,49
2025-12-19T11:21:29.242463,Zone_2,54
2025-12-19T11:21:30.315510,Zone_2,57
2025-12-19T11:21:35.833812,Zone_4,65
2025-12-19T11:21:44.637195,Zone_2,71
2025-12-19T11:21:46.386558,Zone_4,78
2025-12-19T11:21:47.591651,Zone_4,80
2025-12-19T11:21:49.289221,Zone_2,81
2025-12-19T11:21:49.480609,Zone_3,82
2025-12-19T11:21:51.735702,Zone_2,83
2025-12-19T11:22:02.011204,Zone_2,92
2025-12-19T11:22:05.868649,Zone_2,95
2025-12-19T11:22:07.234941,Zone_3,97
2025-12-19T11:22:11.514723,Zone_2,101
2025-12-19T11:22:16.964589,Zone_4,106
2025-12-19T11:22:21.114939,Zone_4,111
2025-12-19T11:22:21.116033,Zone_2,112
2025-12-19T11:22:37.371330,Zone_2,118
2025-12-19T11:22:39.459886,Zone_2,120
2025-12-19T11:22:44.747801,Zone_2,125
2025-12-19T11:22:47.972521,Zone_2,128
2025-12-19T11:23:04.560294,Zone_4,136
2025-12-19T11:23:28.440816,Zone_2,142
2025-12-19T11:23:32.963596,Zone_4,149
2025-12-19T11:23:36.178368,Zone_4,151
2025-12-19T11:23:40.746015,Zone_2,152
2025-12-19T11:23:41.252734,Zone_3,153
2025-12-19T11:23:43.368470,Zone_2,154
2025-12-19T11:23:53.335476,Zone_2,163
2025-12-19T11:23:57.877239,Zone_2,166
2025-12-19T11:23:59.171677,Zone_3,168
2025-12-19T11:24:02.704909,Zone_2,172
2025-12-19T11:24:08.006143,Zone_4,177
2025-12-19T11:24:12.338706,Zone_4,182
2025-12-19T11:24:12.339925,Zone_2,183
2025-12-19T11:24:28.330008,Zone_2,189
2025-12-19T11:24:30.386839,Zone_2,191
2025-12-19T11:24:34.219634,Zone_2,196
2025-12-19T11:24:37.326232,Zone_2,199
2025-12-19T11:24:54.158898,Zone_4,207
2025-12-19T11:25:17.558679,Zone_2,213
2025-12-19T11:25:22.382678,Zone_4,220
2025-12-19T11:25:25.975412,Zone_4,222
2025-12-19T11:25:30.378781,Zone_2,223
2025-12-19T11:25:30.854614,Zone_3,224
2025-12-19T11:25:32.979583,Zone_2,225
2025-12-19T11:25:42.892365,Zone_2,234
